Name,Artist,Popularity,img,Release date,Genre,Subgenre
Location,Khalid,63,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,2017-10-31,rap,hip hop
You Shook Me All Night Long,AC/DC,78,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,1980-07-25,pop,electropop
Just the Way You Are,Bruno Mars,80,https://i.scdn.co/image/ab67616d0000b27378c6c624a95d1bd02ba1fa02,2010-10-05,pop,post-teen pop
That's What I Like,Bruno Mars,82,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,2016-11-17,pop,post-teen pop
Sex on Fire,Kings of Leon,12,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8,2008-08-11,rock,classic rock
Zombie,The Cranberries,80,https://i.scdn.co/image/ab67616d0000b273e2213d84fabb15100c425198,1994-10-03,rock,album rock
Shut Up and Dance,WALK THE MOON,82,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,2014-12-02,pop,post-teen pop
I Feel It Coming,The Weeknd,80,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25,pop,post-teen pop
ORANGE SODA,Baby Keem,83,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,2019-07-19,rap,hip hop
Toxic,Britney Spears,78,https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4,2003-11-13,pop,post-teen pop
Cake By The Ocean,DNCE,80,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,2016-11-18,pop,post-teen pop
